node	verdict	shot	note
11704-318672	partial	-	Yield vaults at 768, read live 2026-09-20 (get_metadata whole, get_design_context on 11704:318689). Frame 634 708x150 at y=86 as two 354 cards; the right card's Title 322x62 at (16,44), 18/22 over 12/16 at 64% white, 8 apart, right corners 12. Column 32 (54 to 86, 236 to 268, 502 to 534). Built in 629db59a5. Held: the left card.
11667-312902	partial	-	One-viewport crop of 11704-318672; the copy card and the 32 rhythm land with the base, no figure of its own opened.
11706-321921	partial	-	Yield vaults at 375, read live 2026-09-20 with get_metadata: the band is one 343x150 card with no children (12049:413386) at y=104, the illustration alone, so no copy card is drawn below md and its absence is the held default. Column 24 (80 to 104, 254 to 278, 512 to 536), already the page's. Confirmed on the read: 343 at x=16, head 80 as a row with 94x32 beside 32x32, Frame 270 2x2 at 168/167 on 8, three 343x240 cards on a 248 pitch.
11664-306263	partial	-	One-viewport crop of 11706-321921; nothing built this pass reaches this width by design, the band being the held illustration alone.
11705-319211	partial	-	Gauge voting - empty at 768, no new read; wave 52's numbers. Frame 280 (11704:319079) 708x209 is the whole gauges block with no heading, standfirst or epoch badge above it: on the empty path the card now drops its header and opens its content at 16, which with the table's own 40 is the board's 56 (6821f304e). Remaining, in src/components/defi/gauge/GaugeWeightsTable.tsx (defi-earn's, dirty on disk this pass): the 160x34 CTA at y=119, label unread, and the 676x16 Frame 297 line at y=169, held.
11405-101828	partial	-	Add liquidity Lend at 1440, re-read at HEAD 2026-09-20 with no Figma read: the 506 centred container of bed35328a stands, and that is the whole of the match on line 104. The content inside it is the liquidity board's panel (Volume chart card, Price range with 0.1% / 0.5% / 1% / Full range / Custom, Transaction speed tiers, Amount, Other details, an Open the deposit form control at 48), not the offer card 474x110 with a 78 tile, Important: warning 474x86, row card 474x58, Amount card 474x132 with 25 / 50 / 75 / Max at x=285 and CTA 474x64 that wave 50 read on this board. AddStep draws one panel for every category; a lending branch is the change, in defi-earn's file.
11405-103640	partial	-	The save twin: the same 506 container and the same liquidity content where the board draws the offer card, warning, row card, Amount card and 474x64 CTA with the save wording. Line 105's match is the container only. A vault branch in AddStep is the change, in defi-earn's file.
11302-128586	match	-	Delete account group and overlay at 1440 after the wave 54 build. The card's trailing glyph is the exported up caret and the button's the exported bin, both transcribed from the asset bytes fetched 2026-09-20; the overlay's identity row draws the profile's display name in white beside the handle in Ash, resolved through getProfileByWallet -- classes and paths in DataPrivacySection.tsx resolved against 11302:129318 read live with get_design_context 2026-09-20 and the wave 50 read of the overlay 11302:128786.
11885-100111	match	-	Referrals empty block at 375, same build as its siblings. Heading 14/18, sentence 12/14 Ash, 32-tall Sky Blue button hugging 'Copy referral link' at 14/16 on px 40 -- the base classes in ReferralsSection.tsx resolved against 11885:100521 read live with get_design_context 2026-09-20. Vault sentence 11885:100535 stays a frame defect.
11405-100106	partial	-	Sample opportunity - save at 1440, read live 2026-09-20 with get_metadata (whole board). Matched at HEAD: the 870 / 16 / 432 chart-figure split (Main container 11405:100199), the eight-column set and order of the Other opportunities table, the four 92.5x30 chips on a 4 pitch, the headline and verb. Not matched: 1318 on a 32 gutter (page 16), the breadcrumb's 32 mark and 10 gaps, 32 under the breadcrumb and 16 under the 58 strip (page 24 / 24), the strip's divider at x=158, 437 on both cards (page min 320 / auto), the two 140x34 head controls (labels unread), 30-tall chips (page 32), 32 under the head (page 16), and the table's fixed tracks 220 / 100 / 100 / 164.13 / 162.48 / 164.13 / 164.13 / 179.14 on a 32 inset with a 28 header and 50 rows (page auto). All in defi-earn's file.
11998-246468	partial	-	Transactions at 768 after 75ae42b4b, read live 2026-09-20 (get_metadata whole; get_design_context on 11998:246539 and 11998:247424). Header 708x32 with the title alone from x=0 and the 170x32 Search transactions at x=538; a flat 32 to the card; the 44-tall band (Manrope 14/18 ash at x=16, y=16, rule under); the 892 track inside 692 (16 + Hash 110, Method 100, Block 60, From 120, To 120, Amount (SKAI) 90, Txn fee 90, Date 170 + 16); heading 28 with ink 10 down; rows 34 on a 50 pitch, rule 8 clear, none under the last; footer 52 through ExplorerTablePager. Cell faces and alignment off the first row: 86x22 Sky Blue tags for hash/from/to, an 18 pill for Method, Block centred, Amount and Txn fee left-set 14/16, Date right-set 12/14. Type and Status left the md track as the board draws neither. Partial for the per-row kebab only, kept undrawn by the wave 54 direction.
10852-361479	partial	-	Add liquidity at 1440 is the two-column frame, read live: Main container 1318x775 as an 870 column beside a 432 form on a 16 gap, built in aff2c1b48 - chart card 544, two 427x113 price cards, an 86 strip of five 164.4x54 chips on a 4 gap, the form's 54 tiers, 66 field, 98 leg cards and 64 CTA. Every sourceless figure is the unavailable glyph. Open: the fee tag, ENTER and the pair marks.
11705-319211	match	-	Gauge empty state at 768: the 160x34 control at y=119 reads Deposit to vault (11704:319093), Manrope 14/18 on Sky Blue 300, radius 8, 24 under the 39 description on a 56 top; built in dab197f8a and routed to /vault. The vault sentence at y=169 is held and its room kept.
11707-323740	match	-	Gauge empty state at 375: the same control at the board's 140x32 below md, same label and destination (dab197f8a).
11902-124936	match	-	Page head at 768, read live: Frame 630 title row 36 with Governance 24 Light and the nav centred between it and a reserved 64; nav entries 14/18 Ash on 24 with the active pill 8/2 radius 4 in Green Coal 100; Frame 604 two 354 halves, left empty, right 18/22 over 12/16 at 64% on 13, inset 16/24; 32 rhythm. Built in fa8eabd15; the hero, stat row and badges no board draws are gone.
11917-140159	match	-	Page head at 375, read live: title row 36 with Governance 20 Light, the nav on its own 20 row 8 below at 12/16, scrolled to the active pill; Frame 604 a single empty 343x165 card with no copy; 24 rhythm. Built in fa8eabd15.
11900-108870	match	-	Governance landing head at 768, read live: identical to the About board's Frame 630 with Frame 604 at 153 (Title inset 24), which is the inset the page ships. Built in fa8eabd15; the proposals section below is another lane's file.
11900-109506	match	-	Governance landing head at 375, read live: Frame 630 64 tall, the nav row at its start with the fade at x=343, Frame 604 the single empty 343x165 card. Built in fa8eabd15.
11972-150945	match	-	Earn Frame 604 at 768, read live: 708x110 as two 354 halves, the left empty, the right #073D48 inset 16/24 with the headline 18/22 white over the body 12/16 at 64% on 8. Built in 03c096642 as EarnPromoBand.tsx; the head, nav, section head and table remain open.
12136-432663	match	-	Earn band at 375: the single empty 343x150 card the wave-53 reading records, built in 03c096642 with the copy card hidden below md.
11989-232490	partial	-	Address > Holdings at 768 after 4279a6836, read live 2026-09-20 (get_metadata whole; get_design_context on 11991:234287 and 11991:234337). Tab strip 44 tall from md with the rule under the second tab 5.5 clear either side; three 220x102 tiles on an 8 gutter at radius 8 (Net worth (USD) with its info glyph and 24h leg, Net worth (SKAI) with the 24 coin mark pinned low, NFTs with View all NFTs and four 40 thumbs on a 4 gap); the 822 track inside 692 (16 + Token 180, Contract 200, Price 80, 24H Change 120, Amount 100, $ Value 110 + 16); heading 28 with ink 6 down and rows at 32; rows 36 on a 52 pitch, rule 8 clear, none under the last; footer 52 through ExplorerTablePager. Cell faces off the first row: 24 mark, name white and symbol ash; the 22 Sky Blue contract tag centred; Price left, 24H Change centred in App/Green, Amount right, $ Value right at 12/14. The unquoted legs and the 24h leg print the unknown glyph. Partial for the per-row kebab only, kept undrawn by the wave 54 direction.
11993-241225	partial	-	Analytics at 768 after 77cb4db64, read live 2026-09-20 (get_metadata whole; get_design_context on 11997:241895 and 11997:241903). Header right group Frame 711 134x36 at x=574: the 90x34 outlined range control (Manrope 14/18 white, 16 chevron 8 after the label) and, 8 on, the 36-square refresh in Green Coal 300 with a 1.5 Sky Blue rule. Four tiles 350x112 two-up on an 8 gutter and 8 row gap, radius 12, p16, label 12/16, 16 to the Mulish Light 24/28 figure, 4 to the 14/16 leg, labelled Daily transactions / Unique addresses / Average block size / Validator count; the two with no source and every leg print the unknown glyph. Chart heading 22 tall with 16 to the four 708x340 charts, which stand as wave 50 measured them. Frame defect: the third tile prints 1600 ms under a size label; the page prints bytes. Partial: the second tile's 43x18 control and each chart's 90x34 range control were not measured against the page.
5410-112561	match	-	Learn marketplace at 1440, read live 2026-09-20 (metadata whole; design context on the hero 5468:93435, the shelf header 5410:112615 and the first card 5410:113641): Frame 631 1318 at (32,24) inside main 1382 at (58,56), sections 32 apart; hero 336 = 34 pair + 32 + a 42/48 two-line headline over an 18/24 subhead at 464 + 32 + a 738x50 field and a 340x18 strip; section titles 24/28; Start-here cards 655x188 on their side; shelf cards 428.67 wide on a 444.67 pitch, 212 media over a 162 body on a 24 radius, name 16/22, summary 14/18, date and figures 14/18, an 11/14 tag and a trailing heart; chips 250x50 on 266. Built in 34cbadba2 on the 1144 column the standing ruling sets.
11945-93362	match	-	Learn marketplace at 375, the base board read live 2026-09-20: Frame 631 343 at (16,64), 2964 tall, sections 24 apart; each shelf a 22-tall header without actions, 16, two rows of two 167-wide cards (100 media + 2 + 122 body on a 12 inset, a centred 16-tall data row with no date or tag) 8 apart, 16, a Show more link; the Skai university shelf's cards 146 media with a creator identity. Built in 34cbadba2 as the phone grid, replacing the crop's rail.
11759-342393	match	-	Getting started with crypto at 768, read live 2026-09-20: a shelf page, not a lesson - Frame 631 708 at (30,76); a 36 header with the title 209x22, a 16 glyph and two 36x36 actions at x=626 and 672; four 332-tall rows 16 apart, each a 708 frame holding four 350x332 cards on a 358 pitch; Show more courses 708x16 at y=1444; 32 to Other courses you may like. Built in 34cbadba2 as /learn/shelves/:shelfId with chunked rails and the unavailable related row.
12141-451132	match	-	Getting started with crypto at 375, read live 2026-09-20: Frame 631 343 at (16,64); a 22 header with the actions hidden; four 224-tall rows 8 apart of two 167 cards (100 + 2 + 122) on an 8 gutter; Show more 343x16 at y=974; 24 to Other courses you may like with 270-tall creator cards. Built in 34cbadba2 as the same page's two-column grid below md.
11943-145177	match	-	Create course Step 2 at 375, read live 2026-09-20: Main container 346 at (14.5,64); Frame 351 at y=180 346x506 on a 12 inset with a 20 bottom; FAQ heading 201x18; Question row 16 with the rule at x=90; fields 322x70 (14 + 8 + 48) and 322x142 (14 + 8 + 120); add action 161x32 at (161,252); rule 24 below; Additional prefernces 128x16 over a 44 row with a 12/14 title, a 12/14 two-line description and the 40.59x24 toggle at x=281.4. Five figures fixed to it this pass.
11943-143981	match	-	Create course preview at 375, read live 2026-09-20: the Step-1 phone body 11942-143538 to the pixel (Frame 270 343 on a 12 inset, 319x70 fields at y=34 and 120, the 319x142 Description, Frame 623 with the 40.59x24 toggle and the 319x90 card, Frame 350 at y=1636, the 343x44 action) plus a 32x32 Preview trigger at x=311 in a 32-tall title row, no Frame 366, and an Overlay carrying the 290x294 preview card at (43,259). The preview is dropped by ruling; the base governs the rest.
11705-319211	partial	-	Gauge voting empty block at 768, read live 2026-09-20 (get_metadata on the board, get_design_context on 11704:319082). Frame 628 / Frame 686 / Frame 280 are the same 708x209 at the same origin, so the card IS the block: CardContent goes p-0 when it heads itself (2a3037f24), where 16 of wrapper padding was being added to the 56 the table's own empty box already draws, opening the description at 72 and standing the block at 249. middle 330 at (189,56): No gauges yet 86x19 centred at 122, the 330x16 sentence at y=23, Frame 242 330x34 at y=63 with one visible 160x34 control centred at x=85 reading Deposit to vault, Sky Blue 300 on Green Coal 300, px-10 py-2, radius 8. Frame 297 676x16 at (16,169) held undrawn, its room kept inside the 209. PARTIAL on one value in another lane's file: the heading is Manrope 14 on an 18.048 line tracked -4% in Core/White and GaugeWeightsTable.tsx:93 draws it 15px muted.
11900-108870	partial	-	Governance landing proposals section at 768, built in a77b51338 to the defi-earn lane's live reading of 2026-09-20. Frame 636 708x34 with All proposals 97x22 at (0,6) and Frame 643 at x=425 - a 109x34 scope control and a 158x34 CTA on a 16 gap - now drawn above EVERY state, where the empty branch used to replace it. Frame 280 708x207 at y=50 rebuilt as the board draws it: a 330 column centred at y=56, the heading on a 19 line, the sentence 4 under it on a 16, Frame 242 24 lower with the 158x32 CTA centred at x=86, and no icon above the two lines. Both controls no-min-size under the 44 floor. PARTIAL on Frame 405, reserved undrawn in the head lane's file, and Frame 297, held.
11900-109506	partial	-	The same section at 375, same commit. Frame 636 343x32, Frame 643 161 at x=182: a 113x32 control and a 32x32 glyph-only CTA at 129, the label dropped rather than wrapped with the accessible name on an aria-label. Frame 280 343x204 at y=48 with the 330 column at x=6.5, the heading on an 18 line, the sentence on a 14, Frame 242 at y=60 with the same 158x32 CTA at 86. The board's 13 under the column is shipped as the 768 board's 16, the frame's own inconsistency. PARTIAL on Frame 405 and the scroll affordance in the head lane's file.

5529-73867	partial	-	Private key pane at 1440, read live 2026-09-20 (get_metadata on the board, get_design_context on 5529:73920) and built in aa60b810a. Frame 628 795 at x=407, column gap 40; Frame 959 gap 16 over the page's own heading (Manrope Regular 24/28 -0.96 Core/White, already shipped by ACCOUNT_SECTION_HEADING_CLASS); Frame 686 at y=44; Frame 956 gap 24 - Frame 200 48 tall with Export private key 18/24 -0.72 over an 8 gap and a 12/16 -0.48 #95A09F line, the caution card 795x68 at y=72 on rgba(251,51,36,0.16) radius 16 pl16 pr20 py12 with a 16 glyph and Warning: Manrope Bold 16/22 on a 6 gap over a 14/18 #E0E0E0 body 4 under it, then the 88-tall input slot at y=164; Frame 203 at y=292 with two 393.5x62 CTAs on an 8 gutter, Cancel Secondary and Export key Primary #56C7F3 on #001615. BUILT: the duplicated in-card heading and the glass panel came off (the panel moved to the SecurityTab mount), Frame 200 and the card to the figures above, and the primary CTA at 62 taking the row. PARTIAL by standing ruling, not by omission: WAVE50 section 5 item 11 keeps the export at wallet.skai.trade, so the Current password field (label 14/18, field #001615 on a 1.5px #17F9B4 edge radius 16 at a 20 inset, message Forgot password? 12/16 #56C7F3) and Cancel are unbuilt and the slot draws its explicit line instead.
11846-355837	partial	-	The same pane at 768, read live 2026-09-20 and built in aa60b810a. Back row 708x19 at (30,76) with a 16 glyph and the label at x=26 (already shipped, hidden from xl); Frame 628 708 at (30,127); heading 22; Frame 686 at y=38; Frame 956 235 on a 16 gap - Frame 200 43 (title 19, an 8 gap, a 16 line), the card 708x62 at y=59 at a 16/12 inset ending 20 clear with the label bold 14/18 and the body 12/16 four under it, the 98-tall slot at y=137; Frame 203 at y=267 with two 350x50 CTAs on the 8 gutter. Built to the md tier of every one of those but the slot and the second CTA, which item 11 holds. The card radius at this width is carried from the pane's own ladder, not read; the title box is 19 where the pinned GROUP_HEADING_CLASS gives 18.
11884-94667	partial	-	The same pane at 375, read live 2026-09-20 and built in aa60b810a. Back row 343x18 at (16,64); Frame 628 343 at (16,106); heading 22; Frame 686 at y=38; Frame 956 250 on a 16 gap - Frame 200 54 with the description running TWO lines at 28, which GROUP_NOTE_CLASS's 12/14 gives exactly; the card 343x72 at y=70 at a 12/12 inset still ending 20 clear, label bold 14/16, body 12/14 over two lines; the 92-tall slot at y=158; Frame 203 at y=282 with two 167.5x44 CTAs on the 8 gutter, the gutter holding at 8 across the whole ladder. The CTA ships 44, which clears the 44 touch floor without no-min-size. Item 11 holds the slot and the second CTA.
5529-76029	partial	-	Private key step 2 at 1440, read live 2026-09-20 with get_metadata. Frame 628 795x470; the card at y=72 is 140 with Information: 112x22 over a 759x90 body carrying the Electrum and BlueWallet import lines; input/primary-inputs at y=236 on a 24 seam, 88 tall, the 64-character key 537x22 in a 561 group with a 16 action at x=545 and a second at x=739 of 755; one 795x62 CTA at y=364 on a 40 seam. The whole board is the reveal WAVE50 item 11 holds, so nothing was built. FRAME DEFECT, measured again: this board labels the key field Email address where 11846-356139 and 11884-95322 both label it Encryption password.
11846-356139	partial	-	Step 2 at 768, read live 2026-09-20. Frame 628 708x395; the card at y=59 is 126 with Information: 101x18 over a 672x80 body; input at y=201, 74 tall - label 108x16, field 50 at a 16 inset, the key 470x18 in a 494 group, actions at x=478 and x=660 of 676; one 708x50 CTA at y=307 on a 32 seam. Held by item 11; nothing built.
11884-95322	partial	-	Step 2 at 375, read live 2026-09-20. Frame 628 343x384; the card at y=70 is 128 and its inset RETURNS to 16/12, so the 12/12 on the base 375 board is that card's own and not the width's; Information: 101x16 over a 307x84 body; input at y=214, 62 tall - label 108x14, field 40 at a 12 inset, the key truncated to 239 of the 263 its row allows, actions at x=247 and x=303 of 319; one 343x46 CTA at y=300 on a 24 seam, 46 against the base board's 44. Held by item 11; nothing built.
11881-94366	partial	-	Preferences at 375, read live 2026-09-20 with get_metadata - the first read of this board - and built in 576de28b8 and cd5b5068c. Twelve input/toggle instances at 40.592594x24 pinned right at x=278.407 of a 319 track, now shipped as @skai/ui size=compact variant=toggle on all nine switches of the pane; the heading-block seam is 24 on Profile visibility (40 to 64) and 16 on Notification settings (54 to 70) and Privacy settings (18 to 34), and the two 16s now ship at base and md with xl left at 24 because 1440 was not read for it. Groups 24 apart, cards 12 apart on 12 of padding, title and note 14 each on a 2 gap. PARTIAL on the 124x16 Reset to default CTA at x=219, which is a write decision rather than a layout gap.
11846-355280	partial	-	Preferences at 768, re-read live 2026-09-20 and built in the same two commits. Layout agrees with 11881-94366 at 708 - groups 32 apart, cards 12 apart on 16 of padding, title and note 16 each on a 2 gap, the seam 24 / 16 / 16 - and the two 16s ship. FRAME DEFECT: all twelve input/toggle instances here are 60.888889x36, exactly 1.5 times the component's published 40.592594x24 that the 375 board draws on the same twelve rows, so they are scaled instances rather than a tablet size and the component's own box shipped. PARTIAL also on the 122x18 Reset to default CTA at x=586.
11980-173965	partial	-	House vault at 768 measured whole: 708x1799 in three bands - a 74 Earn head, a 110 promo pair, a 1551 Main container of four cards (258 Overview with two 76 rows of four 163 tiles, 266 Strategy breakdown, 705 Deposit to pool, 174 Risk Disclosure) over a 24 contract line, chart drawn hidden; NO EDIT - blocked on Casey's Earn-versus-sports placement, on a lock-tier APY/bonus/exit schedule no source supplies, and on a Solana SOL deposit rail the house pool does not have; frame still leaks 'Trading vault' labels and an 'UPDATE THIS CONTENT' placeholder; node data, no browser
11998-248840	partial	-	Gas tracker Main container at 768, read live this pass (get_metadata whole, get_design_context on the band 11998:248905) and built. The band Frame 269 is 44 tall on Green Coal 200 #122524 with a #123f3c bottom rule and radius 12 at the top, one Manrope 14/18 -0.56 App/Ash run reading Recent block gas usage. The table Frame 1004 11998:250107 runs 676 inside the 708 body, so it does NOT scroll at this width: 16 inset, Block 60, Age 80, Transactions 100, Validator 120, Gas used 100, Gas limit 90, Utilization 80, 16 close, on a flat 2.33 between columns; heading 28 tall with its ink 6 down and Frame 357 at 32; rows 34 of ink on a 50 pitch with the rule at y=42. Built to those numbers, with Age off the block timestamp and Validator off `miner` in the board's 86x22 tag. Footer Frame 271 11998:249250 is the 52 strip through ExplorerTablePager, range 1 - 8 of 8. Still open: the Simple Chart line block 11998:249793 is a 7x17 calendar heat map (34x34 cells on a 37 pitch, Mon-Sun rows, an Apr..Mar axis, a five-swatch legend) and no daily gas series exists to fill it, so the live 20-block base-fee line stands there.
11997-242875	partial	-	Token tracker tiles and rhythm at 768, read live this pass. Frame 631 11998:243607 is 708x113 holding THREE 230.67 tiles at x=0 / 238.67 / 477.33 on an 8 gutter, each 113 tall at a 16 inset with a 198.67 inner column: label 16 at the top, 17 to a 28-tall figure, 4 to a 16-tall caption (Frame 235 at y=33, 48 tall). Built as three cards in a md:grid-cols-3, replacing one divided Card. The tile carried `uppercase`, which rendered the board's sentence-case wording as ERC-20 TOKENS and TOTAL TRANSFERS (24H) whatever the strings said; that is now sentence case as the board writes it. Body blocks are a flat 32 (header y=0 h=54, tiles y=86, Main container y=231) and the page was on space-y-5 at every width; it now runs 24 below md and 32 from it, and the crumb stands down from md.
11998-252837	partial	-	AI page header right group and rhythm at 768, read live this pass (get_metadata whole, get_design_context on Frame 405 11998:252895). The group is 254x34 at x=454: a 103x34 outlined control reading 30 days with a 16 chevron (1px #123f3c, radius 8, px16 py8, Manrope 14/18 -0.56 white) and, 8 on, a 143x32 search on Green Coal 300 #001615 inside a 1px #123f3c at radius 8, pl16 pr24 py8, a 16 glyph, a 10 gap, placeholder Manrope 12/16 -0.48 App/Ash at 74% reading Search models. The search is built and filters the models by vault or operator address; the 30 days control is NOT, because none of useAgentVaults / useComputeProvidersList / useActiveJobs takes a range. Body blocks are a flat 32 (header y=0 h=54, tiles y=86 h=234, Main container y=352) and the page was on space-y-6 at every width; it now steps to 32 from md, and the crumb stands down.
11998-251087	partial	-	NFT header right group at 768, read live this pass. Frame 405 11998:251707 is 251x34 at x=457; its search 11998:251717 is 140x32 with a 16 glyph at x=16 and the placeholder at x=42 reading Search tokens. Built, filtering collections by name, symbol or address, with the tiles still counting the whole set and a distinct empty state for a search that matched nothing. The 103x34 sibling control is not built (no ranged read on the page). The Main container table 11998:252103 is measured and left: its eight columns are Token 200, Sales 50, Type 80, 24H Change 100, Volume 100, MIn price 100, Max price 100, Owners 120 on an 882 track, and the NFTCollection row carries only name/symbol/address, totalSupply, floorPrice, volume24h and royaltyBps, so six of the eight have no source.
# Lane defi-earn, wave 55, 2026-09-20. No browser and no screenshot loop, so column 3 stays `-`: each verdict is the
# component source resolved against node data read live this run with get_metadata / get_design_context.
11405-101828	partial	-	Lend panel at 1440, board READ LIVE this run with get_metadata - the first reading of 11405:101828 by any lane, and it settles the open question lines 106-107 left. The 506 container was never the issue; the CONTENT was. The board's `Frame 355` 474x548 stacks the offer card 474x110 (78 tile, a 24 headline, a 56x18 tag with Commission and Est. APY on one 18 line), the `Important:` card 474x86, the held row 474x58, the Amount card 474x132 with 25 / 50 / 75 / Max at x=285, and `Frame 716` 474x102 - `Other details` over `Lend duration` and `Token to receive at end of term` on a 26 pitch - with a 474x64 CTA at y=612. Built in 4a21f12d6 as `LendSavePanel`; `AddForm` is now the pool's 432 form alone. Est. APY, the held amount and the term come from totalApy / userDeposited / lockDays; Commission and Balance have no record and print the unavailable glyph, and the quarter chips are refused with the balance they are shares of. Remains: the header's two unnamed glyphs, the 56x18 tag (drawn as the risk tag on the evidence that the Earn table's Risk cell is the same component at 39-58x18), the asset-picker chevron on a one-asset panel, and the `images/circle` marks, for which this repo holds no asset.
11405-103640	partial	-	The save twin, same build (4a21f12d6) reaching it through AddStep's category branch, with the verb from DETAIL_VERB and the held row's label from DETAIL_HELD_LABEL. Not opened in Figma by this lane, so its own `Commission` row is unconfirmed - a vault has no counterparty to pay one, and that is the reading this lane owes.
11972-150945	partial	-	Earn head, nav and section head at 768, read live this run (get_metadata on the board, get_design_context on 11972:150947 and 11972:150982). Built in 8a495d13d: `Frame 630` 708x36 as EarnPageHead.tsx with `Earn` at Manrope Light 24/28, `Frame 373`'s 152 and the 16 glyph reserved and the frame's own 36x36 refresh mark taking the page's refresh; `nav` 708x22 centred on a 24 gap as EarnSubnav.tsx, five bare 14/18 Ash runs with the active one white in a 100x22 Green Coal 100 pill at radius 4 - the 48-tall filled five-track grid with a glyph per label, two label variants and a count badge is gone, none of it being on either board; `Frame 345` 708x84 as EarnSectionHead.tsx with `Opportunities` 18/22, a 102 and a 100 control 8 apart flush right, and the 708x34 Green Coal 300 capsule of equal pills. The column head `content` 708x28 followed in 00a1a70ec. Remains: the table BODY, still a stack of Cards.
10517-38187	partial	-	Earn at 1440 with pagination, read live this run. The eight-column ladder line 113 measured is confirmed to the pitch and `Frame 271` is measured for the first time: 1318x54, `Pages` at (16,19), a 189x42 cluster centred at x=564.5 and the range readout ending at 1302. EarnPager.tsx already draws that box exactly (py-1.5 on px-4 is 54; 16 either side), so the pager is a match, not a build. The head and section head are built in 8a495d13d at this board's own numbers - the nav INLINE at x=459.5, 399 wide and centred on 659, and `Frame 345` as ONE 38-tall row with two 140x34 controls and a 390x38 rail 24 after them. `My position` now keeps its track and prints the dash this board itself prints at 10517:38580 (00a1a70ec). Remains: the table body, and the head cells at a 32 inset rather than 16.
11917-140159	partial	-	Governance sub-nav scroll affordance at 375, built in 2aaca07c8 off the wave-54 live readings of 11917:140159 and 11900:109506 rather than a new Figma read. Those two boards draw the SAME 76x20 block with a 16 glyph on OPPOSITE edges - left where the row is scrolled to its end, right where it sits at its start - so it is one affordance that follows the scroll, not two decorations. The scroller is measured on mount, on scroll and on resize, and each edge lights only where the row can still move that way, on a 1px tolerance so a fractional scroll position cannot light a chevron permanently. aria-hidden and pointer-events-none, since neither board names it. Remains on both boards: Frame 405, reserved.
11705-319211	match	-	Gauge voting - empty at 768: the last measured gap is closed. Read live 2026-09-21 with get_design_context on `description` (11704:319083) and on its 375 twin (11707:323648). `No gauges yet` is Md/Sub-headline 2 300, Manrope Regular 14 tracked -4% in Core/White, over Md/Paragraph 2 300, Manrope Regular 12 tracked -4% in App/Ash #95A09F, 4 apart; at 375 the same two styles at the Sm rung, 14/18 and 12/14. Only the sentence's leading steps, 14 to 16 at md - 18 and 18.048 are one line and 19 is the text box rounded up, the reading ChartSettingsPanel settled. GaugeWeightsTable.tsx drew both lines at 15px on 19 in muted-foreground; built in 860e45721. Frame 297 676x16 at (16,169) stays held with its room kept inside the 209.
10838-362076	match	-	Earn liquidity-added at 1440, read live this run with get_metadata on the whole board - the first opening of it by this lane. Frame 630 1318x36 (Earn 62x36, Frame 373 152x32 at x=78 reserved, nav 399 at x=459.5, Frame 405 flush right at 64) built in 8a495d13d; Frame 631 (11405:58682) 1318x141 at y=68 as two 659 halves, the left empty and the right holding Title 475x77 at (32,32) - headline box 475x28 over a 475x36 body at y=41 on a 13 gap - stepped to those numbers in 0a89737e3; Frame 345 1318x38 with Opportunities 143x28, two 140x34 controls at x=616 and the 390x38 four-pill rail at x=928; Frame 633 content 1318x28 with Frame 1 1254 inset 32 at the recorded eight-column pitch, a full-width hairline at y=28, then four title rows 1318x50. The row is now built to its own cells: Frame 634 44x24 on the frames 20 pitch with Frame 640 at x=50 (8df33a095), and the 32 inset at lg where the head and cells step together (4fbc51494). My position keeps its track in BOTH states because 10838:362313 draws the same 24 circle beside a literal --. Two stated divergences: the frames rows are pairs and this apps five opportunities are single-sided, so one mark draws and the 44 track is held anyway; Fee and Volume (1W) have no field on EarnOpportunity and draw the unavailable glyph rather than the frames 0.02% and $2.34M.
11973-153636	partial	-	Earn liquidity-only 1VH at 768, read live this run with get_metadata on the whole board. It CONFIRMS on a second node the six-cell ladder earnOpportunityRow.ts records - Frame 1 676 inset 16, Pool 180 at 0, Fee 50 at 201.2, APY 50 at 272.4, TVL 80 at 343.6, Risk 80 at 444.8, Action 130 at 546, with no Volume (1W) and no My position at this width - so the six is the boards answer and not one frames omission. Rows are title 708x48 with list 180x32 at (16,8), Frame 634 44x24 at y=4 and Frame 640 130x32 at x=50; nav 708x22 at y=52 running 154.5 to 553.5, which is the 399 centred in 708 EarnSubnav ships; Frame 186 708x34 at y=50 as four 172x26 pills at x=4/180/356/532. Built to this run: the mark track (8df33a095) and the boards 16 inset as the md step of EARN_ROW_INSET (4fbc51494). PARTIAL on one item, a Casey call rather than a miss: Show more opportuities (11973:153935) 708x16 at y=236 draws on this board while the 1440 liquidity board hides its twin and the pagination boards draw Frame 271 instead; the app ships the pager and would double the affordance if it also drew a more link.
11972-151493	match	-	Earn with pagination at 768, read live this run with get_metadata on the whole board. Head, nav, Frame 604 and Frame 345 are node for node the liquidity-only board 11973:153636; Frame 1 is 676 inset 16 at the same six-column pitch, so the six-cell ladder is now measured on three 768 nodes rather than inferred from one. Ten title rows from y=28 to 466, then Frame 271 708x54 at y=514 - Pages 80x16 at (16,19), a 186x42 cluster centred at x=261 with a 46x42 current page, and 1 - 10 of 12 ending at 692 - which EarnPager.tsx already draws and which names this node as one of its three measurement boards. NO Show more opportuities on this board: the pagination boards page and the liquidity-only board links, which is the open call carried on 11973-153636. Built to it this run: the Frame 634 mark track at 44x24 on the 20 pitch with Frame 640 at x=50 (8df33a095) and the 16 inset as the md step of EARN_ROW_INSET (4fbc51494). Recorded: three of the ten rows are Frame 641 rows, 50 tall, SKAI staking 1/2/3, single-asset with the sub-line hidden, and the frame still draws them with the two-circle track - an instance reused, not a second token the row holds, which is why the 44 track is held while one mark draws in it.
