# key	status	primaryFile	route	reason	bp
# Lane governance-explorer, wave 39, 2026-09-09. Owns src/pages/explorer/**, src/pages/defi/**, src/components/learn/**.
# Page "Governance and Utilities" (3sSzw1KewMtUbeLAv7uW0r, page 5210:118077) entered scope today; 428 of these 569
# frames had never been triaged. This file is a FIRST PASS over the whole assignment plus a measured build of the
# explorer dashboard cluster. Every row states which of the two it is. Sizes are read from live/ (harvest of 2026-09-09).
#
# NO BROWSER WAS USED. Column 6 is present only on rows this lane measured against the frame from source; a verdict
# there is a SOURCE verdict, never a render verdict. Rows marked FIRST PASS carry no column 6, so they read unknown at
# every width, which is the truth.
#
# Frames whose implementing file belongs to another lane (governance-account: src/components/governance, src/components/
# account, src/pages/account, src/components/notifications; and everything under src/pages/vault, src/pages/sports,
# src/pages/social, src/pages/rewards, src/pages/Airdrop.tsx, src/pages/GaugeVoting.tsx, src/pages/YieldVault*.tsx,
# src/pages/learn/index.tsx, src/components/home-redesign) are rowed with their carried status and NOT edited.
Account > Account settings > Security > 2FA > SMS [11301-127843]	not-started	src/services/security/twoFactorService.ts	/account?tab=security (would be the dialog's second tab)	TOTP-only service; no SMS rail exists (1440x900). Lane governance-account's file.
Frame 1000003958 [11998-352404]	partial	-	-	Loose top-level fragment named "Frame 1000003958", 884x634, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003958" of 884x634 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003958" 884x634, text: Hash | Method | Block | From | To | Amount (SKAI) | Txn fee | Date; beside 11998:354592 Explorer > Transactions (375). -> partial: the Transactions table at its full scroll width; built in src/pages/explorer/TransactionListPage.tsx. Not measured at this cut.
Simple Chart line - no data [5698-143443]	partial	src/pages/explorer/AddressDetailPage.tsx	-	Component fragment "Simple Chart line - no data", 1318x417: an explorer address-page section state in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Simple Chart line - no data" 1318x417, text: Average gas prices | Estimated heat map value | 10 8 6 4 2 | Mon Tue; beside 5691:138387 Explorer > Gas tracker 1VH (1440). -> partial: the gas tracker's "Average gas prices" heat map in its empty state; built as src/components/explorer/GasHeatMap.tsx (its unavailable state :190-197). Not measured.
Holdings - NFTs [5660-116662]	partial	src/pages/explorer/AddressDetailPage.tsx	-	Component fragment "Holdings - NFTs", 1318x698: an explorer address-page section state in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Holdings - NFTs" 1318x698, text: Net worth (USD) $60,801.98 | Net worth (SKAI) | Tokens View all tokens; beside 5660:114498 Explorer > Address > Holdings 1VH (1440). -> partial: the Holdings tab's net-worth strip and token / NFT lists; built as HoldingsTab in src/pages/explorer/AddressDetailPage.tsx:1103 (and TokenHoldingsCard :403). Not measured at this cut.
With success/failure [11345-145018]	partial	src/pages/explorer/AddressDetailPage.tsx	-	Component fragment "With success/failure", 651x516: an explorer address-page section state in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "With success/failure" 651x516, text: 0x0fd8fe490... | 2 secs ago | From: 0x0fd8fe490... | To: SKAIGas: Collateral | 433cf794ac... | 14 secs ago (tx feed rows); beside 11983:221622 Explorer (1440). -> partial: the dashboard's Latest transactions card in its success / failure state; built as LatestTransactionsRows (src/pages/explorer/ExplorerDashboard.tsx:803-830, success and reverted marks from the receipt). Not measured.
Frame 1000003925 [11987-228392]	not-started	-	-	Loose top-level fragment named "Frame 1000003925", 914x962, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003925" of 914x962 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003925" 914x962, text: Action | User | Hash | Error | Date | {"type":"spotDeploy"... | Genesis for BRLA; beside 11986:226555 Explorer > Dashboard - transactions (768). -> not-started: an actions table (action, user, hash, error, date; rows of spotDeploy / genesis JSON) beside the dashboard's transactions board. Nothing in src/pages/explorer draws an actions log.
Frame 1000003924 [11987-228045]	not-started	-	-	Loose top-level fragment named "Frame 1000003924", 804x660, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003924" of 804x660 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003924" 804x660, text: Value | Token | Amount | From | To | Date | USDC | 1:03 AM — Jul 27, 2026 | SKAI | ZEC; beside 11986:226555 Explorer > Dashboard - transactions (768). -> not-started: a token-transfers table (value, token, amount, from, to, date) beside the dashboard's transactions board. The dashboard draws Latest blocks and Latest transactions plus two unavailable presets (src/pages/explorer/ExplorerDashboard.tsx:899-954, src/components/explorer/CustomizeListCardDrawer.tsx:62-93); no transfers table is drawn there.
Frame 267 [11987-227622]	blocked-on-backend	-	-	Loose top-level fragment named "Frame 267", 784x660, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 267" of 784x660 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 267" 784x660, text: Activity type | Value | Pair | Amount | From | Progression | $987,654,321 | SKAIUSDC | 63 minutes left | BTCUSDT; beside 11986:226555 Explorer > Dashboard - transactions (768). -> blocked-on-backend: an Active TWAPs table (activity type, value, pair, amount, from, progression "63 minutes left"). No source: SKAI chain and its indexer keep no TWAP order records - the indexer registers no TWAP route (modules/skai-chain/indexer/api/rest/server.go route table) and "twap" in skai-chain appears only in price computation (core/engine/oracle, and the perps mark price at core/engine/perps/engine.go:2743).
Frame 1000003940 [11998-332332]	not-started	-	-	Loose top-level fragment named "Frame 1000003940", 874x784, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003940" of 874x784 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003940" 874x784, text: Action | User | Hash | Error | Date | spotDeploy; beside 11998:329996 Explorer > Dashboard - transactions (375). -> not-started: an actions table (action, user, hash, error, date; rows of spotDeploy / genesis JSON) beside the dashboard's transactions board. Nothing in src/pages/explorer draws an actions log.
Frame 1000003941 [11998-332560]	not-started	-	-	Loose top-level fragment named "Frame 1000003941", 764x666, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003941" of 764x666 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003941" 764x666, text: Value | Token | Amount | From | To | Date; beside 11998:329996 Explorer > Dashboard - transactions (375). -> not-started: a token-transfers table (value, token, amount, from, to, date) beside the dashboard's transactions board. The dashboard draws Latest blocks and Latest transactions plus two unavailable presets (src/pages/explorer/ExplorerDashboard.tsx:899-954, src/components/explorer/CustomizeListCardDrawer.tsx:62-93); no transfers table is drawn there.
Frame 1000003942 [11998-332847]	blocked-on-backend	-	-	Loose top-level fragment named "Frame 1000003942", 744x668, not a screen and not a component state. Recorded so nobody re-triages it; excluded from the parity denominator. CORRECTED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), furniture -> unknown: the verdict above was taken from the name and harvested size alone, which SCHEMA.md's rule does not allow. Furniture is canvas chrome - Directory banners, Breakpoint rulers, loose shapes, stickies, author-labelled rejects - and this node is a visible FRAME "Frame 1000003942" of 744x668 (live/3sSzw1KewMtUbeLAv7uW0r__5210-118077.tsv); coverage.mjs counts such a node as genuine by design, because a default name says nobody named it, not that it holds nothing. Its children have not been read, so no status is claimed: needs a Figma read. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Frame 1000003942" 744x668, text: Activity type | Value | Pair | Amount | From | Progression; beside 11998:329996 Explorer > Dashboard - transactions (375). -> blocked-on-backend: an Active TWAPs table (activity type, value, pair, amount, from, progression "63 minutes left"). No source: SKAI chain and its indexer keep no TWAP order records - the indexer registers no TWAP route (modules/skai-chain/indexer/api/rest/server.go route table) and "twap" in skai-chain appears only in price computation (core/engine/oracle, and the perps mark price at core/engine/perps/engine.go:2743).
Truncated ALT - NOT recommended [11345-146431]	furniture	-	-	Author-labelled "Truncated ALT - NOT recommended", 935x760. The label itself says it is not the spec.
Skai YV - deposited [11259-40720]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Skai YV - deposited", 395x266: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. ASSESSED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), unknown -> partial: implemented. src/components/defi/vault/VaultCard.tsx draws this card and names this node as its frame (:4), with the frame's values transcribed as the oracle in VaultCard.figmaParity.test.tsx; its two stated divergences are deliberate (the Deposit CTA is kept because the fragment has no other way out to /earn/vault/:address, and the gain carries a $). Not re-measured this pass.
Skai YV - deposited [11670-313345]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Skai YV - deposited", 350x248: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. ASSESSED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), unknown -> partial: the same "Skai YV - deposited" card at a narrower width (350x248 in live/), drawn by the one component that implements it, src/components/defi/vault/VaultCard.tsx, which names the 1440 cut 11259:40720 (:4). Remaining: measure this width.
Skai YV - deposited [11706-321832]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Skai YV - deposited", 343x240: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. ASSESSED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), unknown -> partial: the same "Skai YV - deposited" card at a narrower width (343x240 in live/), drawn by the one component that implements it, src/components/defi/vault/VaultCard.tsx, which names the 1440 cut 11259:40720 (:4). Remaining: measure this width.
Withdraw from vault [11259-44415]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Withdraw from vault", 737x620: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Withdraw from vault" 737x620, text: Withdraw to token | Skai USD Coin | sUSDC | Amount to withdraw | 12 | Max | $18.22 | 500.12 sUSDC Available | $100 | $200 | $300 | $500 | $1,000 | ...; beside 5515:93883 Yield vaults > Sample vault item (1440). -> partial: the yield vault withdraw panel (withdraw to token, amount, Max, available, $100-$1,000 chips); built as DepositWithdrawPanel on src/pages/YieldVaultDetail.tsx; the quick-amount chips are the recorded gap (status.governance-vaults.tsv:38).
Courses - buy [5442-40192]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Courses - buy", 761x583: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Corser details - with video [11343-142585]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Corser details - with video", 680x1895: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Videoframe - playing [5460-87886]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Videoframe - playing", 1047x991: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Videoframe - before playing [11342-142483]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Videoframe - before playing", 1047x991: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Course progress - completed [5446-82429]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Course progress - completed", 1318x132: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Course details - on:hover [5442-48059]	unknown	src/components/learn/CommunityCourseCard.tsx	-	Component fragment "Course details - on:hover", 367x234: a Learn course-card fragment in this lane's directory. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
Right menu [11309-136820]	partial	src/components/layout (right menu)	-	Component fragment "Right menu", 442x884: a state of the app right menu; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Right menu" 442x884, text: Update proposal | Submit a proposal for the SKAI | DAO boost required | Deposit requirement: 1000 SKAI | Your voting power: 0 SKAI | Proposal title ...; beside 5373:68430 New proposal ALT 1VH. -> partial: the create / update proposal right menu (DAO boost required, deposit requirement 1000 SKAI, your voting power, title and description with counters); built as the right-docked drawer in src/components/governance/ProposalCreateModal.tsx (:299-305, the requirement and voting-power rows :331-345). The Update mode is not built.
Right menu [12141-451869]	partial	src/components/layout (right menu)	-	Component fragment "Right menu", 442x1008: a state of the app right menu; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Right menu" 442x1008, text: Update proposal | Submit a proposal for the | DAO boost required | Deposit requirement 1000 SKAI | Your voting power 0 SKAI | Proposal title 0/200; beside 12097:429324 New proposal (768). -> partial: the create / update proposal right menu (DAO boost required, deposit requirement 1000 SKAI, your voting power, title and description with counters); built as the right-docked drawer in src/components/governance/ProposalCreateModal.tsx (:299-305, the requirement and voting-power rows :331-345). The Update mode is not built.
Right menu [12141-452042]	partial	src/components/layout (right menu)	-	Component fragment "Right menu", 359x812: a state of the app right menu; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Right menu" 359x812, text: (same, 375); beside 12097:431217 New proposal (375). -> partial: the create / update proposal right menu (DAO boost required, deposit requirement 1000 SKAI, your voting power, title and description with counters); built as the right-docked drawer in src/components/governance/ProposalCreateModal.tsx (:299-305, the requirement and voting-power rows :331-345). The Update mode is not built.
Governance settings [11309-136155]	frame-defect	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Governance settings", 442x884: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Governance settings" 442x884, text: Governance settings | Customize governance settings | Setup how governance works for | Open positions | Use builtin ABIs | Use local cache for ...; beside 5390:80080 Sample proposal - view 1VH. -> frame-defect: a "Governance settings" right menu whose options are the trade terminal's settings copy - Open positions, Use builtin ABIs, Use local cache for historical, Reset layout, "Revert the trade layout back to". None is a governance setting, so building it would ship trade-layout toggles on a governance page. Nothing draws it.
Governance settings [12097-429027]	frame-defect	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Governance settings", 442x1008: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Governance settings" 442x1008, text: Governance settings | Customize governance settings | Open positions | Use builtin ABIs | Use local cache for historical | Reset layout | Revert the ...; beside 11900:115524 Sample proposal - view - detail (768). -> frame-defect: a "Governance settings" right menu whose options are the trade terminal's settings copy - Open positions, Use builtin ABIs, Use local cache for historical, Reset layout, "Revert the trade layout back to". None is a governance setting, so building it would ship trade-layout toggles on a governance page. Nothing draws it.
Governance settings [12097-429129]	frame-defect	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Governance settings", 354x796: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Governance settings" 354x796, text: (same as above); beside 11904:130968 Sample proposal - view 1VH (375). -> frame-defect: a "Governance settings" right menu whose options are the trade terminal's settings copy - Open positions, Use builtin ABIs, Use local cache for historical, Reset layout, "Revert the trade layout back to". None is a governance setting, so building it would ship trade-layout toggles on a governance page. Nothing draws it.
Vault actions - deposit and unclaimed [11314-138830]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "Vault actions - deposit and unclaimed", 1318x582: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. ASSESSED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), unknown -> partial: implemented in src/components/governance/StakingPanel.tsx, which names this node (:567) and draws the section title and accent bar, the Unclaimed rewards chip, the Open wallet link and the balance card over the Claim CTA. Two recorded departures (StakingPanel.tsx:569-582): rewards are shown in the vault's feeToken (sUSD) rather than SKAI, and the right-hand "Deposit from token: Solana SOL" form is not built because there is no SOL deposit rail into this vault. Not measured this pass.
Right menu - open [5376-70869]	partial	src/components/layout (right menu)	-	Component fragment "Right menu - open", 442x1643: a state of the app right menu; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Right menu - open" 442x1643, text: Create proposal | Submit a proposal for th | DAO boost required | Deposit requirement 1000 SKAI | Your voting power 0 SKAI | Proposal title 0/200; beside 5373:68430 New proposal ALT 1VH (1440). -> partial: the create / update proposal right menu (DAO boost required, deposit requirement 1000 SKAI, your voting power, title and description with counters); built as the right-docked drawer in src/components/governance/ProposalCreateModal.tsx (:299-305, the requirement and voting-power rows :331-345). The Update mode is not built.
DAO boost - met [5376-71252]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "DAO boost - met", 394x110: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "DAO boost - met" 394x110, text: DAO requirement met | Deposit requirement: 1000 SKAI | Your voting power: 1100 SKAI; beside 5373:68430 New proposal ALT 1VH (1440). -> partial: the proposal requirement box in its met state (deposit requirement 1000 SKAI against voting power 1100 SKAI); built as the Deposit Requirement / Your Voting Power rows of src/components/governance/ProposalCreateModal.tsx:331-345. The met styling is not measured.
House vault - if low [11151-80952]	partial	src/pages/YieldVaultDetail.tsx / src/components/defi/vault	-	Component fragment "House vault - if low", 419x550: a vault or governance fragment; not this lane's file. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "House vault - if low" 419x550, text: House vault | 40 | 1 year | Earn 100 SKAI points for each fr | Provide liquidity to the house. | APY | 3-9% | TVL | $5.2M | Risk | Medium | Backs | ...; beside 5259:80297 Earn > Vaults (1440). -> partial: the House vault card on the Vaults board (APY 3-9%, TVL, risk, Backs: casino games, sportsbook); built in src/pages/vault/VaultSelection.tsx (status.governance-vaults.tsv:15). This low-liquidity variant is not measured.
Add liquidity - no value [11022-18418]	unknown	src/pages/defi/Earn.tsx	-	Component fragment "Add liquidity - no value", 432x674: an Earn stake/swap fragment; the surface it belongs to is not built. FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only.
With winners [11161-82180]	partial	src/components/notifications/LotterySection.tsx	-	Component fragment "With winners", 1318x1007: a faucet/lottery fragment (lane governance-account). FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "With winners" 1318x1007, text: Skai lottery | Skai Originals | Dive into the thrilling world of | Price tiers — Daily price pool | Total: | $89.01 | 3 | Minor prize | @ghost, ...; beside 5280:87638 Earn > Faucet (1440). -> partial: the lottery overview with prize tiers and winners; built in src/components/notifications/LotterySection.tsx (tier cards with "(n winners per draw)" :374, the intro copy :407). Not measured at this cut.
Lottery - rolls finished [11156-82051]	partial	src/components/notifications/LotterySection.tsx	-	Component fragment "Lottery - rolls finished", 316x327: a faucet/lottery fragment (lane governance-account). FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Lottery - rolls finished" 316x327, text: 6 | Rolls | 1 | Streak | 122 | SKAI earned | Bet amount: | 0.01 SKAI | 1/2 | 2X | Max | Balance: | 100.11 SKAI | $21.00; beside 5280:87638 Earn > Faucet (1440). -> partial: the faucet roll card (rolls, streak, SKAI earned, bet amount with 1/2 / 2X / Max, balance). FaucetClaimCard (mounted at src/pages/defi/Earn.tsx:1747) draws the rolls / won / streak stats and the cooldown (src/components/dashboard/FaucetClaimCard.tsx:600-640); the bet row belongs to HiLoGameCompact, which is built and mounted nowhere.
Winners - with date position shifted [11198-97038]	partial	src/components/notifications/LotterySection.tsx	-	Component fragment "Winners - with date position shifted", 1318x544: a faucet/lottery fragment (lane governance-account). FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Winners - with date position shifted" 1318x544, text: Winners | Total: | $89.01 | User | Draw | Win/Loss | Payout | Date | @CryptoQueen88 | 1127 | 1,000 SKAI | 11:52 PM — Jul 26, 2026; beside 5370:46761 Earn > Faucet > Winners (1440). -> partial: the Winners table (user, draw, win/loss, payout, date); built as WINNERS_TABLE_COLUMNS / DrawHistoryTable in src/components/notifications/LotterySection.tsx:590-660. Not measured.
Tickets - empty [5370-46501]	partial	src/components/notifications/LotterySection.tsx	-	Component fragment "Tickets - empty", 1318x544: a faucet/lottery fragment (lane governance-account). FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. ASSESSED (wave67 cat-status-a, 2026-09-24; code at Skai-Trading fa36d2b9b, no Figma read: the connector was not connected), unknown -> partial: implemented. The Tickets tab's empty state is FaucetTicketsEmpty in src/components/notifications/LotterySection.tsx (:951-974), built from this fragment's 768 cut 12215:457766, read live 2026-09-21 and pinned by src/components/notifications/__tests__/faucetTicketsEmpty.figma.test.tsx; this 1318x544 cut is the same state at 1440. Deliberate: the first button reads Buy tickets, not Vault (the lottery runs in points, Casey 2026-09-23). The 1440 cut has not been measured.
Blackjack cards [5313-92097]	partial	src/components/notifications/LotterySection.tsx	-	Component fragment "Blackjack cards", 56x95: a faucet/lottery fragment (lane governance-account). FIRST PASS, NOT OPENED THIS WAVE; classified from its name and harvested size only. READ LIVE 2026-09-24 (wave67 cat-status-a; use_figma getNodeByIdAsync, read-only; code at Skai-Trading fa36d2b9b): "Blackjack cards" 56x95, text: 2; beside 5280:87638 Earn > Faucet (1440). -> partial: the second-place bar (56x95, "2") of the top-three podium; the same-named bars sit inside the Leaderboard and Faucet boards' Frame 317. Built as LeaderboardPodium (src/components/leaderboard/LeaderboardPodium.tsx:1-20, bar heights 152 / 95 / 72 at 1440) and the lottery prize podium (src/components/notifications/LotterySection.tsx:216-240).
